,Istasyon_No,Istasyon_Adi,YIL,AY,GUN,SAAT,SICAKLIK_°C
24311,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,11.0,9.3
24312,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,12.0,9.7
24313,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,13.0,9.7
24314,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,14.0,9.5
24315,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,15.0,9.2
24316,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,16.0,8.9
24317,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,17.0,8.6
24318,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,18.0,8.6
24319,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,19.0,7.8
24320,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,20.0,7.6
24321,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,21.0,6.6
24322,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,22.0,6.2
24323,18046,ÇANKAYA/TBMM,2016.0,1.0,11.0,23.0,4.8
24324,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,0.0,5.0
24325,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,1.0,4.8
24326,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,2.0,4.3
24327,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,3.0,3.6
24328,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,4.0,2.7
24329,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,5.0,3.0
24330,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,6.0,4.1
24331,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,7.0,7.2
24332,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,8.0,9.2
24333,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,9.0,11.4
24334,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,10.0,12.4
24335,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,11.0,13.7
24336,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,12.0,14.0
24337,18046,ÇANKAYA/TBMM,2016.0,1.0,12.0,13.0,14.1
