Date,Open,High,Low,Close,Adj Close,Volume
2018-08-21,6.097600,6.152900,5.999200,6.098500,6.098500,0
2018-08-22,6.076800,6.110400,6.017100,6.079700,6.079700,0
2018-08-23,6.027360,6.134970,5.999440,6.028000,6.028000,0
2018-08-24,6.089310,6.132400,6.003700,6.093800,6.093800,0
2018-08-27,5.988300,6.289940,5.980720,5.980720,5.980720,0
2018-08-28,6.161500,6.271400,6.129930,6.155230,6.155230,0
2018-08-29,6.268200,6.466510,6.238890,6.266100,6.266100,0
2018-08-30,6.471200,6.808220,6.454300,6.473400,6.473400,0
2018-08-31,6.734300,6.784200,6.387900,6.734100,6.734100,0
2018-09-03,6.578530,6.721500,6.517930,6.583800,6.583800,0
2018-09-04,6.631000,6.719620,6.583240,6.633700,6.633700,0
2018-09-05,6.659700,6.717600,6.583500,6.666200,6.666200,0
2018-09-06,6.571930,6.638590,6.546610,6.580800,6.580800,0
2018-09-07,6.588200,6.599090,6.375150,6.583700,6.583700,0
2018-09-10,6.421600,6.494330,6.408650,6.421700,6.421700,0
2018-09-11,6.466080,6.486300,6.433800,6.468300,6.468300,0
2018-09-12,6.439330,6.461230,6.326500,6.434360,6.434360,0
2018-09-13,6.346000,6.546600,6.011730,6.348200,6.348200,0
2018-09-14,6.127900,6.176480,6.011000,6.128700,6.128700,0
2018-09-17,6.161600,6.318900,6.151360,6.161400,6.161400,0
2018-09-18,6.326500,6.459070,6.305880,6.323300,6.323300,0
2018-09-19,6.398900,6.409710,6.227300,6.398700,6.398700,0
2018-09-20,6.250500,6.368300,6.128910,6.247380,6.247380,0
2018-09-21,6.221700,6.301600,6.198070,6.221400,6.221400,0
2018-09-24,6.306200,6.328530,6.048900,6.300930,6.300930,0
2018-09-25,6.151200,6.222210,6.067750,6.153300,6.153300,0
2018-09-26,6.191600,6.192100,6.080500,6.192000,6.192000,0
2018-09-27,6.108700,6.126100,5.962880,6.107500,6.107500,0
2018-09-28,6.001490,6.037560,5.953700,6.005700,6.005700,0
2018-10-01,6.042210,6.054620,5.906830,6.044000,6.044000,0
2018-10-02,5.938100,6.055700,5.932250,5.937600,5.937600,0
2018-10-03,5.987020,6.081080,5.979990,5.987820,5.987820,0
2018-10-04,6.054300,6.223820,6.051000,6.051780,6.051780,0
2018-10-05,6.181710,6.207700,6.101220,6.185500,6.185500,0
2018-10-08,6.163550,6.186850,6.111940,6.163900,6.163900,0
2018-10-09,6.107910,6.155400,6.088720,6.117900,6.117900,0
2018-10-10,6.101210,6.129420,6.016720,6.105200,6.105200,0
2018-10-11,6.076160,6.081500,5.949280,6.080300,6.080300,0
2018-10-12,5.917580,5.978100,5.840350,5.917480,5.917480,0
2018-10-15,5.886580,5.892890,5.750760,5.879900,5.879900,0
2018-10-16,5.779170,5.805040,5.706940,5.780200,5.780200,0
2018-10-17,5.687980,5.710980,5.529750,5.691600,5.691600,0
2018-10-18,5.587200,5.674400,5.518000,5.587490,5.587490,0
2018-10-19,5.630550,5.697300,5.599740,5.635600,5.635600,0
2018-10-22,5.651000,5.686500,5.620320,5.650700,5.650700,0
2018-10-23,5.665500,5.865600,5.661990,5.665900,5.665900,0
2018-10-24,5.747870,5.774500,5.658320,5.747220,5.747220,0
2018-10-25,5.704500,5.734500,5.613550,5.700770,5.700770,0
2018-10-26,5.636400,5.656500,5.599290,5.635600,5.635600,0
2018-10-29,5.589300,5.593400,5.505290,5.589400,5.589400,0
2018-10-30,5.559700,5.560400,5.464000,5.559620,5.559620,0
2018-10-31,5.481000,5.624970,5.465950,5.480900,5.480900,0
